45 1730248676 0,362133 0,200000 0,362133 0,362133 0,026228
48 1730248676 0,000541 0,200000 0,000541 0,000541 0,000000
45 1730248677 0,362133 0,200000 0,362133 0,362133 0,026228
48 1730248677 0,000541 0,200000 0,000541 0,000541 0,000000
45 1730248678 0,362133 0,200000 0,362133 0,362133 0,026228
48 1730248678 0,000541 0,200000 0,000541 0,000541 0,000000
45 1730248679 0,362133 0,200000 0,362133 0,362133 0,026228
48 1730248679 0,000541 0,200000 0,000541 0,000541 0,000000
45 1730248680 0,362133 0,200000 0,362133 0,362133 0,026228
48 1730248680 0,000541 0,200000 0,000541 0,000541 0,000000
45 1730248681 0,426853 0,200000 0,426853 0,426853 0,036441
51 1730248681 0,216497 0,200000 0,216497 0,216497 0,009374
48 1730248681 0,000679 0,200000 0,000679 0,000679 0,000000
54 1730248681 0,399947 0,200000 0,399947 0,399947 0,031991
45 1730248682 0,426853 0,200000 0,426853 0,426853 0,036441
51 1730248682 0,216497 0,200000 0,216497 0,216497 0,009374
48 1730248682 0,000679 0,200000 0,000679 0,000679 0,000000
54 1730248682 0,399947 0,200000 0,399947 0,399947 0,031991
45 1730248683 0,426853 0,200000 0,426853 0,426853 0,036441
51 1730248683 0,216497 0,200000 0,216497 0,216497 0,009374
48 1730248683 0,000679 0,200000 0,000679 0,000679 0,000000
54 1730248683 0,399947 0,200000 0,399947 0,399947 0,031991
45 1730248684 0,426853 0,200000 0,426853 0,426853 0,036441
51 1730248684 0,216497 0,200000 0,216497 0,216497 0,009374
48 1730248684 0,000679 0,200000 0,000679 0,000679 0,000000
54 1730248684 0,399947 0,200000 0,399947 0,399947 0,031991
45 1730248685 0,426853 0,200000 0,426853 0,426853 0,036441
51 1730248685 0,216497 0,200000 0,216497 0,216497 0,009374
48 1730248685 0,000679 0,200000 0,000679 0,000679 0,000000
54 1730248685 0,399947 0,200000 0,399947 0,399947 0,031991
45 1730248686 0,418606 0,200000 0,418606 0,418606 0,035046
51 1730248686 0,204901 0,200000 0,204901 0,204901 0,008397
48 1730248686 0,000444 0,200000 0,000444 0,000444 0,000000
69 1730248686 0,128165 0,200000 0,128165 0,128165 0,003285
54 1730248686 0,192136 0,200000 0,192136 0,192136 0,007383
45 1730248687 0,418606 0,200000 0,418606 0,418606 0,035046
51 1730248687 0,204901 0,200000 0,204901 0,204901 0,008397
48 1730248687 0,000444 0,200000 0,000444 0,000444 0,000000
69 1730248687 0,128165 0,200000 0,128165 0,128165 0,003285
54 1730248687 0,192136 0,200000 0,192136 0,192136 0,007383
45 1730248688 0,418606 0,200000 0,418606 0,418606 0,035046
51 1730248688 0,204901 0,200000 0,204901 0,204901 0,008397
48 1730248688 0,000444 0,200000 0,000444 0,000444 0,000000
69 1730248688 0,128165 0,200000 0,128165 0,128165 0,003285
54 1730248688 0,192136 0,200000 0,192136 0,192136 0,007383
45 1730248689 0,418606 0,200000 0,418606 0,418606 0,035046
51 1730248689 0,204901 0,200000 0,204901 0,204901 0,008397
48 1730248689 0,000444 0,200000 0,000444 0,000444 0,000000
69 1730248689 0,128165 0,200000 0,128165 0,128165 0,003285
54 1730248689 0,192136 0,200000 0,192136 0,192136 0,007383
45 1730248690 0,418606 0,200000 0,418606 0,418606 0,035046
51 1730248690 0,204901 0,200000 0,204901 0,204901 0,008397
48 1730248690 0,000444 0,200000 0,000444 0,000444 0,000000
69 1730248690 0,128165 0,200000 0,128165 0,128165 0,003285
54 1730248690 0,192136 0,200000 0,192136 0,192136 0,007383
75 1730248691 0,110607 0,200000 0,110607 0,110607 0,002447
45 1730248691 0,370858 0,200000 0,370858 0,370858 0,027507
51 1730248691 0,208422 0,200000 0,208422 0,208422 0,008688
48 1730248691 0,000661 0,200000 0,000661 0,000661 0,000000
69 1730248691 0,121681 0,200000 0,121681 0,121681 0,002961
72 1730248691 0,125457 0,200000 0,125457 0,125457 0,003148
75 1730248692 0,110607 0,200000 0,110607 0,110607 0,002447
45 1730248692 0,370858 0,200000 0,370858 0,370858 0,027507
51 1730248692 0,208422 0,200000 0,208422 0,208422 0,008688
48 1730248692 0,000661 0,200000 0,000661 0,000661 0,000000
69 1730248692 0,121681 0,200000 0,121681 0,121681 0,002961
72 1730248692 0,125457 0,200000 0,125457 0,125457 0,003148
75 1730248693 0,110607 0,200000 0,110607 0,110607 0,002447
45 1730248693 0,370858 0,200000 0,370858 0,370858 0,027507
51 1730248693 0,208422 0,200000 0,208422 0,208422 0,008688
48 1730248693 0,000661 0,200000 0,000661 0,000661 0,000000
69 1730248693 0,121681 0,200000 0,121681 0,121681 0,002961
72 1730248693 0,125457 0,200000 0,125457 0,125457 0,003148
75 1730248694 0,110607 0,200000 0,110607 0,110607 0,002447
45 1730248694 0,370858 0,200000 0,370858 0,370858 0,027507
51 1730248694 0,208422 0,200000 0,208422 0,208422 0,008688
48 1730248694 0,000661 0,200000 0,000661 0,000661 0,000000
69 1730248694 0,121681 0,200000 0,121681 0,121681 0,002961
72 1730248694 0,125457 0,200000 0,125457 0,125457 0,003148
75 1730248695 0,110607 0,200000 0,110607 0,110607 0,002447
45 1730248695 0,370858 0,200000 0,370858 0,370858 0,027507
51 1730248695 0,208422 0,200000 0,208422 0,208422 0,008688
48 1730248695 0,000661 0,200000 0,000661 0,000661 0,000000
69 1730248695 0,121681 0,200000 0,121681 0,121681 0,002961
72 1730248695 0,125457 0,200000 0,125457 0,125457 0,003148
75 1730248696 0,116171 0,200000 0,116171 0,116171 0,002699
45 1730248696 0,434588 0,200000 0,434588 0,434588 0,037773
81 1730248696 0,274999 0,200000 0,274999 0,274999 0,015125
51 1730248696 0,216731 0,400000 0,189970 0,243491 0,019075
48 1730248696 0,000523 0,200000 0,000523 0,000523 0,000000
75 1730248697 0,116171 0,200000 0,116171 0,116171 0,002699
45 1730248697 0,434588 0,200000 0,434588 0,434588 0,037773
81 1730248697 0,274999 0,200000 0,274999 0,274999 0,015125
51 1730248697 0,216731 0,400000 0,189970 0,243491 0,019075
48 1730248697 0,000523 0,200000 0,000523 0,000523 0,000000
75 1730248698 0,116171 0,200000 0,116171 0,116171 0,002699
45 1730248698 0,434588 0,200000 0,434588 0,434588 0,037773
81 1730248698 0,274999 0,200000 0,274999 0,274999 0,015125
51 1730248698 0,216731 0,400000 0,189970 0,243491 0,019075
48 1730248698 0,000523 0,200000 0,000523 0,000523 0,000000
75 1730248699 0,116171 0,200000 0,116171 0,116171 0,002699
45 1730248699 0,434588 0,200000 0,434588 0,434588 0,037773
81 1730248699 0,274999 0,200000 0,274999 0,274999 0,015125
51 1730248699 0,216731 0,400000 0,189970 0,243491 0,019075
48 1730248699 0,000523 0,200000 0,000523 0,000523 0,000000
75 1730248700 0,116171 0,200000 0,116171 0,116171 0,002699
45 1730248700 0,434588 0,200000 0,434588 0,434588 0,037773
81 1730248700 0,274999 0,200000 0,274999 0,274999 0,015125
51 1730248700 0,216731 0,400000 0,189970 0,243491 0,019075
48 1730248700 0,000523 0,200000 0,000523 0,000523 0,000000
90 1730248701 25,557857 0,200000 25,557857 25,557857 130,640809
45 1730248701 0,418682 0,200000 0,418682 0,418682 0,035059
84 1730248701 0,197558 0,200000 0,197558 0,197558 0,007806
81 1730248701 0,207696 0,200000 0,207696 0,207696 0,008628
51 1730248701 0,205064 0,200000 0,205064 0,205064 0,008410
48 1730248701 0,000805 0,200000 0,000805 0,000805 0,000000
93 1730248701 0,164720 0,200000 0,164720 0,164720 0,005427
54 1730248701 0,412400 0,200000 0,412400 0,412400 0,034015
87 1730248701 25,558236 0,200000 25,558236 25,558236 130,644684
90 1730248702 25,557857 0,200000 25,557857 25,557857 130,640809
45 1730248702 0,418682 0,200000 0,418682 0,418682 0,035059
84 1730248702 0,197558 0,200000 0,197558 0,197558 0,007806
81 1730248702 0,207696 0,200000 0,207696 0,207696 0,008628
51 1730248702 0,205064 0,200000 0,205064 0,205064 0,008410
48 1730248702 0,000805 0,200000 0,000805 0,000805 0,000000
93 1730248702 0,164720 0,200000 0,164720 0,164720 0,005427
54 1730248702 0,412400 0,200000 0,412400 0,412400 0,034015
87 1730248702 25,558236 0,200000 25,558236 25,558236 130,644684
51 1730248703 0,205064 0,200000 0,205064 0,205064 0,008410
87 1730248703 25,558236 0,200000 25,558236 25,558236 130,644684
81 1730248703 0,207696 0,200000 0,207696 0,207696 0,008628
93 1730248703 0,164720 0,200000 0,164720 0,164720 0,005427
90 1730248703 25,557857 0,200000 25,557857 25,557857 130,640809
45 1730248703 0,418682 0,200000 0,418682 0,418682 0,035059
84 1730248703 0,197558 0,200000 0,197558 0,197558 0,007806
48 1730248703 0,000805 0,200000 0,000805 0,000805 0,000000
54 1730248703 0,412400 0,200000 0,412400 0,412400 0,034015
90 1730248704 25,557857 0,200000 25,557857 25,557857 130,640809
45 1730248704 0,418682 0,200000 0,418682 0,418682 0,035059
84 1730248704 0,197558 0,200000 0,197558 0,197558 0,007806
81 1730248704 0,207696 0,200000 0,207696 0,207696 0,008628
51 1730248704 0,205064 0,200000 0,205064 0,205064 0,008410
48 1730248704 0,000805 0,200000 0,000805 0,000805 0,000000
93 1730248704 0,164720 0,200000 0,164720 0,164720 0,005427
54 1730248704 0,412400 0,200000 0,412400 0,412400 0,034015
87 1730248704 25,558236 0,200000 25,558236 25,558236 130,644684
90 1730248705 25,557857 0,200000 25,557857 25,557857 130,640809
45 1730248705 0,418682 0,200000 0,418682 0,418682 0,035059
84 1730248705 0,197558 0,200000 0,197558 0,197558 0,007806
81 1730248705 0,207696 0,200000 0,207696 0,207696 0,008628
51 1730248705 0,205064 0,200000 0,205064 0,205064 0,008410
48 1730248705 0,000805 0,200000 0,000805 0,000805 0,000000
93 1730248705 0,164720 0,200000 0,164720 0,164720 0,005427
54 1730248705 0,412400 0,200000 0,412400 0,412400 0,034015
87 1730248705 25,558236 0,200000 25,558236 25,558236 130,644684
45 1730248706 0,403002 0,200000 0,403002 0,403002 0,032482
96 1730248706 27,306676 0,200000 27,306676 27,306676 149,130910
81 1730248706 14,227149 0,200000 14,227149 14,227149 40,482354
48 1730248706 0,000910 0,200000 0,000910 0,000910 0,000000
69 1730248706 0,126810 0,200000 0,126810 0,126810 0,003216
93 1730248706 0,185391 0,400000 0,181043 0,189738 0,013755
54 1730248706 0,221056 0,200000 0,221056 0,221056 0,009773
87 1730248706 27,307010 0,200000 27,307010 27,307010 149,134558
45 1730248707 0,403002 0,200000 0,403002 0,403002 0,032482
96 1730248707 27,306676 0,200000 27,306676 27,306676 149,130910
81 1730248707 14,227149 0,200000 14,227149 14,227149 40,482354
48 1730248707 0,000910 0,200000 0,000910 0,000910 0,000000
69 1730248707 0,126810 0,200000 0,126810 0,126810 0,003216
93 1730248707 0,185391 0,400000 0,181043 0,189738 0,013755
54 1730248707 0,221056 0,200000 0,221056 0,221056 0,009773
87 1730248707 27,307010 0,200000 27,307010 27,307010 149,134558
87 1730248708 27,307010 0,200000 27,307010 27,307010 149,134558
69 1730248708 0,126810 0,200000 0,126810 0,126810 0,003216
54 1730248708 0,221056 0,200000 0,221056 0,221056 0,009773
45 1730248708 0,403002 0,200000 0,403002 0,403002 0,032482
96 1730248708 27,306676 0,200000 27,306676 27,306676 149,130910
81 1730248708 14,227149 0,200000 14,227149 14,227149 40,482354
48 1730248708 0,000910 0,200000 0,000910 0,000910 0,000000
93 1730248708 0,185391 0,400000 0,181043 0,189738 0,013755
45 1730248709 0,403002 0,200000 0,403002 0,403002 0,032482
96 1730248709 27,306676 0,200000 27,306676 27,306676 149,130910
81 1730248709 14,227149 0,200000 14,227149 14,227149 40,482354
48 1730248709 0,000910 0,200000 0,000910 0,000910 0,000000
69 1730248709 0,126810 0,200000 0,126810 0,126810 0,003216
93 1730248709 0,185391 0,400000 0,181043 0,189738 0,013755
54 1730248709 0,221056 0,200000 0,221056 0,221056 0,009773
87 1730248709 27,307010 0,200000 27,307010 27,307010 149,134558
45 1730248710 0,403002 0,200000 0,403002 0,403002 0,032482
96 1730248710 27,306676 0,200000 27,306676 27,306676 149,130910
81 1730248710 14,227149 0,200000 14,227149 14,227149 40,482354
48 1730248710 0,000910 0,200000 0,000910 0,000910 0,000000
69 1730248710 0,126810 0,200000 0,126810 0,126810 0,003216
93 1730248710 0,185391 0,400000 0,181043 0,189738 0,013755
54 1730248710 0,221056 0,200000 0,221056 0,221056 0,009773
87 1730248710 27,307010 0,200000 27,307010 27,307010 149,134558
75 1730248711 0,154944 0,200000 0,154944 0,154944 0,004802
45 1730248711 0,436241 0,200000 0,436241 0,436241 0,038061
99 1730248711 20,325603 0,200000 20,325603 20,325603 82,626029
48 1730248711 0,000670 0,200000 0,000670 0,000670 0,000000
69 1730248711 0,119679 0,200000 0,119679 0,119679 0,002865
72 1730248711 0,140868 0,200000 0,140868 0,140868 0,003969
105 1730248711 24,068890 0,200000 24,068890 24,068890 115,862296
102 1730248711 0,171293 0,200000 0,171293 0,171293 0,005868
87 1730248711 22,197572 0,400000 20,325969 24,069175 198,494037
75 1730248712 0,154944 0,200000 0,154944 0,154944 0,004802
45 1730248712 0,436241 0,200000 0,436241 0,436241 0,038061
99 1730248712 20,325603 0,200000 20,325603 20,325603 82,626029
48 1730248712 0,000670 0,200000 0,000670 0,000670 0,000000
69 1730248712 0,119679 0,200000 0,119679 0,119679 0,002865
72 1730248712 0,140868 0,200000 0,140868 0,140868 0,003969
105 1730248712 24,068890 0,200000 24,068890 24,068890 115,862296
102 1730248712 0,171293 0,200000 0,171293 0,171293 0,005868
87 1730248712 22,197572 0,400000 20,325969 24,069175 198,494037
75 1730248713 0,154944 0,200000 0,154944 0,154944 0,004802
45 1730248713 0,436241 0,200000 0,436241 0,436241 0,038061
99 1730248713 20,325603 0,200000 20,325603 20,325603 82,626029
48 1730248713 0,000670 0,200000 0,000670 0,000670 0,000000
69 1730248713 0,119679 0,200000 0,119679 0,119679 0,002865
72 1730248713 0,140868 0,200000 0,140868 0,140868 0,003969
105 1730248713 24,068890 0,200000 24,068890 24,068890 115,862296
102 1730248713 0,171293 0,200000 0,171293 0,171293 0,005868
87 1730248713 22,197572 0,400000 20,325969 24,069175 198,494037
75 1730248714 0,154944 0,200000 0,154944 0,154944 0,004802
45 1730248714 0,436241 0,200000 0,436241 0,436241 0,038061
99 1730248714 20,325603 0,200000 20,325603 20,325603 82,626029
48 1730248714 0,000670 0,200000 0,000670 0,000670 0,000000
69 1730248714 0,119679 0,200000 0,119679 0,119679 0,002865
