66 1730248677 0,000000 0,000000 -101,000000 0,000000 0,000000
66 1730248678 0,000000 0,000000 -101,000000 0,000000 0,000000
66 1730248679 0,000000 0,000000 -101,000000 0,000000 0,000000
66 1730248680 0,000000 0,000000 -101,000000 0,000000 0,000000
66 1730248681 6,000000 0,200000 1,200000 1,200000 -20,200000
66 1730248682 6,000000 0,200000 2,400000 2,400000 -20,200000
66 1730248683 6,000000 0,200000 3,600000 3,600000 -20,200000
66 1730248684 6,000000 0,200000 4,800000 4,800000 -20,200000
66 1730248685 6,000000 0,200000 6,000000 6,000000 -20,200000
66 1730248686 3,000000 0,400000 7,200000 7,200000 -20,200000
66 1730248687 3,000000 0,400000 8,400000 8,400000 -20,200000
66 1730248688 3,000000 0,400000 9,600000 9,600000 -20,200000
66 1730248689 3,000000 0,400000 10,800000 10,800000 -20,200000
66 1730248690 3,000000 0,400000 12,000000 12,000000 -20,200000
66 1730248691 0,500000 0,800000 12,400000 12,400000 -20,200000
66 1730248692 0,500000 0,800000 12,800000 12,800000 -20,200000
66 1730248693 0,500000 0,800000 13,200000 13,200000 -20,200000
66 1730248694 0,500000 0,800000 13,600000 13,600000 -20,200000
66 1730248695 0,500000 0,800000 14,000000 14,000000 -20,200000
66 1730248696 0,285714 1,400000 14,400000 14,400000 -20,200000
66 1730248697 0,285714 1,400000 14,800000 14,800000 -20,200000
66 1730248698 0,285714 1,400000 15,200000 15,200000 -20,200000
66 1730248699 0,285714 1,400000 15,600000 15,600000 -20,200000
66 1730248700 0,285714 1,400000 16,000000 16,000000 -20,200000
66 1730248701 0,666667 1,800000 17,200000 17,200000 -20,200000
66 1730248702 0,666667 1,800000 18,400000 18,400000 -20,200000
66 1730248703 0,666667 1,800000 19,600000 19,600000 -20,200000
66 1730248704 0,666667 1,800000 20,800000 20,800000 -20,200000
66 1730248705 0,666667 1,800000 22,000000 22,000000 -20,200000
66 1730248706 0,500000 2,400000 23,200000 23,200000 -20,200000
66 1730248707 0,500000 2,400000 24,400000 24,400000 -20,200000
66 1730248708 0,500000 2,400000 25,600000 25,600000 -20,200000
66 1730248709 0,500000 2,400000 26,800000 26,800000 -20,200000
66 1730248710 0,500000 2,400000 28,000000 28,000000 -20,200000
66 1730248711 -0,062500 3,200000 27,800000 27,800000 -20,200000
66 1730248712 -0,062500 3,200000 27,600000 27,600000 -20,200000
66 1730248713 -0,062500 3,200000 27,400000 27,400000 -20,200000
66 1730248714 -0,062500 3,200000 27,200000 27,200000 -20,200000
66 1730248715 -0,062500 3,200000 27,000000 27,000000 -20,200000
66 1730248716 0,105263 3,800000 27,400000 27,400000 -20,200000
66 1730248717 0,105263 3,800000 27,800000 27,800000 -20,200000
66 1730248718 0,105263 3,800000 28,200000 28,200000 -20,200000
66 1730248719 0,105263 3,800000 28,600000 28,600000 -20,200000
66 1730248720 0,105263 3,800000 29,000000 29,000000 -20,200000
66 1730248721 0,363636 4,400000 30,600000 30,600000 -20,200000
66 1730248722 0,363636 4,400000 32,200000 32,200000 -20,200000
66 1730248723 0,363636 4,400000 33,800000 33,800000 -20,200000
66 1730248724 0,363636 4,400000 35,400000 35,400000 -20,200000
66 1730248725 0,363636 4,400000 37,000000 37,000000 -20,200000
66 1730248726 0,280000 5,000000 38,400000 38,400000 -20,200000
66 1730248727 0,280000 5,000000 39,800000 39,800000 -20,200000
66 1730248728 0,280000 5,000000 41,200000 41,200000 -20,200000
66 1730248729 0,280000 5,000000 42,600000 42,600000 -20,200000
66 1730248730 0,280000 5,000000 44,000000 44,000000 -20,200000
66 1730248731 -0,259259 5,400000 42,600000 42,600000 -20,200000
66 1730248732 -0,259259 5,400000 41,200000 41,200000 -20,200000
66 1730248733 -0,259259 5,400000 39,800000 39,800000 -20,200000
66 1730248734 -0,259259 5,400000 38,400000 38,400000 -20,200000
66 1730248735 -0,259259 5,400000 37,000000 37,000000 -20,200000
66 1730248736 -0,137931 5,800000 36,200000 36,200000 -20,200000
66 1730248737 -0,137931 5,800000 35,400000 35,400000 -20,200000
66 1730248738 -0,137931 5,800000 34,600000 34,600000 -20,200000
66 1730248739 -0,137931 5,800000 33,800000 33,800000 -20,200000
66 1730248740 -0,137931 5,800000 33,000000 33,000000 -20,200000
66 1730248741 0,218750 6,400000 34,400000 34,400000 -20,200000
66 1730248742 0,218750 6,400000 35,800000 35,800000 -20,200000
66 1730248743 0,218750 6,400000 37,200000 37,200000 -20,200000
66 1730248744 0,218750 6,400000 38,600000 38,600000 -20,200000
66 1730248745 0,218750 6,400000 40,000000 40,000000 -20,200000
66 1730248746 0,000000 7,000000 40,000000 40,000000 -20,200000
66 1730248747 0,000000 7,000000 40,000000 40,000000 -20,200000
66 1730248748 0,000000 7,000000 40,000000 40,000000 -20,200000
66 1730248749 0,000000 7,000000 40,000000 40,000000 -20,200000
66 1730248750 0,000000 7,000000 40,000000 40,000000 -20,200000
66 1730248751 -0,083333 7,200000 39,400000 39,400000 -20,200000
66 1730248752 -0,083333 7,200000 38,800000 38,800000 -20,200000
66 1730248753 -0,083333 7,200000 38,200000 38,200000 -20,200000
66 1730248754 -0,083333 7,200000 37,600000 37,600000 -20,200000
66 1730248755 -0,083333 7,200000 37,000000 37,000000 -20,200000
66 1730248756 -0,025641 7,800000 36,800000 36,800000 -20,200000
66 1730248757 -0,025641 7,800000 36,600000 36,600000 -20,200000
66 1730248758 -0,025641 7,800000 36,400000 36,400000 -20,200000
66 1730248759 -0,025641 7,800000 36,200000 36,200000 -20,200000
66 1730248760 -0,025641 7,800000 36,000000 36,000000 -20,200000
66 1730248761 0,095238 8,400000 36,800000 36,800000 -20,200000
66 1730248762 0,095238 8,400000 37,600000 37,600000 -20,200000
66 1730248763 0,095238 8,400000 38,400000 38,400000 -20,200000
66 1730248764 0,095238 8,400000 39,200000 39,200000 -20,200000
66 1730248765 0,095238 8,400000 40,000000 40,000000 -20,200000
66 1730248766 -0,022727 8,800000 39,800000 39,800000 -20,200000
66 1730248767 -0,022727 8,800000 39,600000 39,600000 -20,200000
66 1730248768 -0,022727 8,800000 39,400000 39,400000 -20,200000
66 1730248769 -0,022727 8,800000 39,200000 39,200000 -20,200000
66 1730248770 -0,022727 8,800000 39,000000 39,000000 -20,200000
66 1730248771 -0,111111 9,000000 38,000000 38,000000 -20,200000
66 1730248772 -0,111111 9,000000 37,000000 37,000000 -20,200000
66 1730248773 -0,111111 9,000000 36,000000 36,000000 -20,200000
66 1730248774 -0,111111 9,000000 35,000000 35,000000 -20,200000
66 1730248775 -0,111111 9,000000 34,000000 34,000000 -20,200000
66 1730248776 0,000000 9,000000 34,000000 34,000000 -20,200000
66 1730248777 0,000000 9,000000 34,000000 34,000000 -20,200000
66 1730248778 0,000000 9,000000 34,000000 34,000000 -20,200000
66 1730248779 0,000000 9,000000 34,000000 34,000000 -20,200000
66 1730248780 0,000000 9,000000 34,000000 34,000000 -20,200000
66 1730248781 0,104167 9,600000 35,000000 35,000000 -20,200000
66 1730248782 0,104167 9,600000 36,000000 36,000000 -20,200000
66 1730248783 0,104167 9,600000 37,000000 37,000000 -20,200000
66 1730248784 0,104167 9,600000 38,000000 38,000000 -20,200000
66 1730248785 0,104167 9,600000 39,000000 39,000000 -20,200000
66 1730248786 -0,020000 10,000000 38,800000 38,800000 -20,200000
66 1730248787 -0,020000 10,000000 38,600000 38,600000 -20,200000
66 1730248788 -0,020000 10,000000 38,400000 38,400000 -20,200000
66 1730248789 -0,020000 10,000000 38,200000 38,200000 -20,200000
66 1730248790 -0,020000 10,000000 38,000000 38,000000 -20,200000
66 1730248791 -0,056604 10,600000 37,400000 37,400000 -20,200000
66 1730248792 -0,056604 10,600000 36,800000 36,800000 -20,200000
66 1730248793 -0,056604 10,600000 36,200000 36,200000 -20,200000
66 1730248794 -0,056604 10,600000 35,600000 35,600000 -20,200000
66 1730248795 -0,056604 10,600000 35,000000 35,000000 -20,200000
66 1730248796 -0,018182 11,000000 34,800000 34,800000 -20,200000
66 1730248797 -0,018182 11,000000 34,600000 34,600000 -20,200000
66 1730248798 -0,018182 11,000000 34,400000 34,400000 -20,200000
66 1730248799 -0,018182 11,000000 34,200000 34,200000 -20,200000
66 1730248800 -0,018182 11,000000 34,000000 34,000000 -20,200000
66 1730248801 -0,050847 11,800000 33,400000 33,400000 -20,200000
66 1730248802 -0,050847 11,800000 32,800000 32,800000 -20,200000
66 1730248803 -0,050847 11,800000 32,200000 32,200000 -20,200000
66 1730248804 -0,050847 11,800000 31,600000 31,600000 -20,200000
66 1730248805 -0,050847 11,800000 31,000000 31,000000 -20,200000
66 1730248806 0,142857 12,600000 32,800000 32,800000 -20,200000
66 1730248807 0,142857 12,600000 34,600000 34,600000 -20,200000
66 1730248808 0,142857 12,600000 36,400000 36,400000 -20,200000
66 1730248809 0,142857 12,600000 38,200000 38,200000 -20,200000
66 1730248810 0,142857 12,600000 40,000000 40,000000 -20,200000
66 1730248811 0,000000 12,600000 40,000000 40,000000 -20,200000
