58 1730248681 4631,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248682 4631,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248683 4631,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248684 4631,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248685 4631,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248686 8623,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248687 8623,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248688 8623,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248689 8623,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248690 8623,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248691 6666,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248692 6666,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248693 6666,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248694 6666,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248695 6666,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248696 6613,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248697 6613,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248698 6613,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248699 6613,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248700 6613,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248701 13290,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248702 13290,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248703 13290,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248704 13290,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248705 13290,400000 -1,000000 -101,000000 0,000000 0,000000
58 1730248706 15985,800000 -1,000000 -101,000000 0,000000 0,000000
58 1730248707 15985,800000 -1,000000 -101,000000 0,000000 0,000000
58 1730248708 15985,800000 -1,000000 -101,000000 0,000000 0,000000
58 1730248709 15985,800000 -1,000000 -101,000000 0,000000 0,000000
58 1730248710 15985,800000 -1,000000 -101,000000 0,000000 0,000000
58 1730248711 15973,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248712 15973,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248713 15973,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248714 15973,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248715 15973,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248716 6650,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248717 6650,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248718 6650,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248719 6650,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248720 6650,200000 -1,000000 -101,000000 0,000000 0,000000
58 1730248721 12162,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248722 12162,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248723 12162,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248724 12162,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248725 12162,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248726 14923,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248727 14923,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248728 14923,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248729 14923,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248730 14923,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248731 2590,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248732 2590,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248733 2590,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248734 2590,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248735 2590,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248736 2023,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248737 2023,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248738 2023,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248739 2023,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248740 2023,000000 -1,000000 -101,000000 0,000000 0,000000
58 1730248741 10469,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248742 10469,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248743 10469,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248744 10469,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248745 10469,600000 -1,000000 -101,000000 0,000000 0,000000
58 1730248746 16262,800000 -1,000000 -101,000000 0,000000 0,000000
58 1730248747 16262,800000 -1,000000 -101,000000 0,000000 0,000000
58 1730248748 16262,800000 -1,000000 -101,000000 0,000000 0,000000
