offline_datapoint_11 1730248679 1058688,000
offline_datapoint_5 1730248679 4030,000
offline_datapoint_26 1730248679 1267531776,000
offline_datapoint_14 1730248679 615034880,000
offline_datapoint_3 1730248679 12995858432,000
offline_datapoint_9 1730248679 340312064,000
offline_datapoint_25 1730248679 7630,000
offline_datapoint_19 1730248677 207,221
offline_datapoint_8 1730248677 23296,846
offline_datapoint_21 1730248679 340312064,000
offline_datapoint_1 1730248677 40,835
offline_datapoint_20 1730248679 9178611712,000
offline_datapoint_7 1730248679 10373971968,000
offline_datapoint_6 1730248677 0,238
offline_datapoint_12 1730248677 26,927
offline_datapoint_24 1730248677 11,028
offline_datapoint_13 1730248677 21041,487
offline_datapoint_18 1730248679 0,000
offline_datapoint_0 1730248677 26551,743
offline_datapoint_16 1730248677 3031,525
offline_datapoint_28 1730248677 0,241
offline_datapoint_17 1730248677 41,749
offline_datapoint_10 1730248677 99,764
offline_datapoint_29 1730248677 0,000
offline_datapoint_22 1730248677 25712,117
offline_datapoint_4 1730248677 0,010
offline_datapoint_11 1730248681 1058688,000
offline_datapoint_5 1730248681 4030,000
offline_datapoint_26 1730248681 1267535872,000
offline_datapoint_14 1730248681 615079936,000
offline_datapoint_3 1730248681 12995821568,000
offline_datapoint_9 1730248681 337670144,000
offline_datapoint_25 1730248681 7625,000
offline_datapoint_19 1730248680 0,000
offline_datapoint_8 1730248680 2501,452
offline_datapoint_21 1730248681 337670144,000
offline_datapoint_1 1730248680 0,000
offline_datapoint_20 1730248681 9177546752,000
offline_datapoint_7 1730248681 10390974464,000
offline_datapoint_6 1730248680 0,143
offline_datapoint_12 1730248680 3,577
offline_datapoint_24 1730248680 1,578
offline_datapoint_13 1730248680 6415,890
offline_datapoint_18 1730248681 0,000
offline_datapoint_0 1730248680 7350,172
offline_datapoint_16 1730248680 954,472
offline_datapoint_28 1730248680 0,128
offline_datapoint_17 1730248680 31,204
offline_datapoint_10 1730248680 99,893
offline_datapoint_29 1730248680 8,811
offline_datapoint_22 1730248680 16588,800
offline_datapoint_4 1730248680 0,005
offline_datapoint_11 1730248684 1058688,000
offline_datapoint_5 1730248684 4032,000
offline_datapoint_26 1730248684 1267212288,000
offline_datapoint_14 1730248684 615116800,000
offline_datapoint_3 1730248684 12965318656,000
offline_datapoint_9 1730248684 337494016,000
offline_datapoint_25 1730248684 7637,000
offline_datapoint_19 1730248682 7,351
offline_datapoint_8 1730248682 10165,091
offline_datapoint_21 1730248684 337494016,000
offline_datapoint_1 1730248682 5,346
offline_datapoint_20 1730248684 9167126528,000
offline_datapoint_7 1730248684 10366095360,000
offline_datapoint_6 1730248682 0,087
offline_datapoint_12 1730248682 9,228
offline_datapoint_24 1730248682 3,220
offline_datapoint_13 1730248682 7838,090
offline_datapoint_18 1730248684 0,000
offline_datapoint_0 1730248682 9134,581
offline_datapoint_16 1730248682 2414,213
offline_datapoint_28 1730248682 0,240
offline_datapoint_17 1730248682 53,798
offline_datapoint_10 1730248682 99,774
offline_datapoint_29 1730248682 8,354
offline_datapoint_22 1730248682 17786,435
offline_datapoint_4 1730248682 0,010
offline_datapoint_11 1730248687 1058688,000
offline_datapoint_5 1730248687 4056,000
offline_datapoint_26 1730248687 1266913280,000
offline_datapoint_14 1730248687 615116800,000
offline_datapoint_3 1730248687 12980015104,000
offline_datapoint_9 1730248687 338116608,000
offline_datapoint_25 1730248687 7628,000
offline_datapoint_19 1730248685 5,656
offline_datapoint_8 1730248685 16546,561
offline_datapoint_21 1730248687 338116608,000
offline_datapoint_1 1730248685 3,327
offline_datapoint_20 1730248687 9183354880,000
offline_datapoint_7 1730248687 10392551424,000
offline_datapoint_6 1730248685 0,043
offline_datapoint_12 1730248685 9,762
offline_datapoint_24 1730248685 4,462
offline_datapoint_13 1730248685 8491,047
offline_datapoint_18 1730248687 0,000
offline_datapoint_0 1730248685 9792,319
offline_datapoint_16 1730248685 2862,068
offline_datapoint_28 1730248685 0,228
offline_datapoint_17 1730248685 47,246
offline_datapoint_10 1730248685 99,782
offline_datapoint_29 1730248685 3,660
offline_datapoint_22 1730248685 12897,352
offline_datapoint_4 1730248685 0,009
offline_datapoint_11 1730248690 1058688,000
offline_datapoint_5 1730248690 4064,000
offline_datapoint_26 1730248690 1266966528,000
offline_datapoint_14 1730248690 615137280,000
offline_datapoint_3 1730248690 12958826496,000
offline_datapoint_9 1730248690 337833984,000
offline_datapoint_25 1730248690 7651,000
offline_datapoint_19 1730248688 11,012
offline_datapoint_8 1730248688 6945,410
